method,device,image,runs,transferencia_promedio_s,rgb_gris_promedio_s,sobel_promedio_s,total_promedio_s,blancos_pct,speed_up,performance_pct
secuencial,,750x750,5,,0.11274903639998683,1.3478367129999698,1.4605857493999566,0.46417777777777774,1.0,100.0
secuencial,,1500x1500,5,,0.426230273200008,4.7755449830000085,5.201775256200017,0.1372,1.0,100.0
secuencial,,3000x3000,5,,1.5028957687999764,18.79881977680004,20.30171554560002,0.011733333333333333,1.0,100.0
secuencial,,6000x6000,5,,5.758736657799977,75.72468960240008,81.48342626020005,0.0,1.0,100.0
numpy,,750x750,5,,0.0020110769999973853,0.010260810600016157,0.012271887600013543,0.2817777777777778,119.01883369583214,11901.883369583215
numpy,,1500x1500,5,,0.01780782079999881,0.07841899180000382,0.09622681260000263,0.059955555555555554,54.057441119065764,5405.744111906576
numpy,,3000x3000,5,,0.09248436720001792,0.3932569593999915,0.4857413266000094,0.0013666666666666666,41.795322806284,4179.5322806284
numpy,,6000x6000,5,,0.26421529619999545,0.9642837543999804,1.2284990505999758,0.0,66.32762656218992,6632.762656218992
numba_parallel,,750x750,5,,0.000697832200035009,0.0008926643999984663,0.0015904966000334752,0.46257777777777775,918.3205731902951,91832.05731902951
numba_parallel,,1500x1500,5,,0.0029532493999795406,0.0035094401999913316,0.006462689599970872,0.1371111111111111,804.8932531470275,80489.32531470276
numba_parallel,,3000x3000,5,,0.011822835800012399,0.014305696600013107,0.026128532400025505,0.011755555555555556,776.9941011145426,77699.41011145426
numba_parallel,,6000x6000,5,,0.034868531999995865,0.04440677299999152,0.07927530499998739,0.0,1027.8538349390521,102785.38349390522
numba_cuda,,750x750,5,,0.0010093068001879146,0.0004433508001966402,0.0014526576003845548,0.2817777777777778,1005.4576859772757,100545.76859772757
numba_cuda,,1500x1500,5,,0.0021496003999345705,0.0009397170000738697,0.00308931740000844,0.059955555555555554,1683.7943735356575,168379.43735356577
numba_cuda,,3000x3000,5,,0.008954520000042977,0.003688022800270119,0.012642542800313095,0.0013666666666666666,1605.8253364265647,160582.53364265646
numba_cuda,,6000x6000,5,,0.02718767480000679,0.0128545347997715,0.04004220959977829,0.0,2034.9383082159186,203493.83082159187
pytorch,cpu,750x750,5,0.0,0.001121096000133548,0.0023723786001937698,0.0034934746003273177,0.46257777777777775,418.0897005128099,41808.97005128099
pytorch,cpu,1500x1500,5,0.0,0.004402401400147938,0.010379769399878568,0.014782170800026506,0.1371111111111111,351.89522070673746,35189.522070673745
pytorch,cpu,3000x3000,5,0.0,0.03111982559930766,0.09380375900000218,0.12492358459930983,0.011755555555555556,162.51307237714488,16251.307237714487
pytorch,cpu,6000x6000,5,0.0,0.11897163040048327,0.34032978020004523,0.4593014106005285,0.0,177.4073067915509,17740.73067915509
pytorch,cuda,750x750,5,0.0022207324003829854,0.00013535200014302973,0.00022999459979473614,0.0025860790003206,0.46257777777777775,564.7877536683472,56478.77536683472
pytorch,cuda,1500x1500,5,0.006732811600159039,0.0009609720000298694,0.0009869875997537748,0.0086807711999425,0.1371111111111111,599.2296233120938,59922.96233120938
pytorch,cuda,3000x3000,5,0.029329693199906616,0.0034529475993622326,0.008922622799582313,0.0417052635988511,0.011755555555555556,486.79024645127265,48679.024645127265
pytorch,cuda,6000x6000,5,0.11603891039994778,0.013090526800078805,0.034657923600025245,0.1637873608000517,0.0,497.4952026956058,49749.52026956058
